2022/11/24 12:56:26.072 D Host                           Hosting starting 
2022/11/24 12:56:35.766 D KestrelServer                  Failed to locate the development https certificate at '(null)'. 
2022/11/24 12:56:35.766 W Kestrel                        Overriding address(es) 'http://localhost:5000'. Binding to endpoints defined in UseKestrel() instead. 
2022/11/24 12:56:35.793 I Lifetime                       Now listening on: http://0.0.0.0:6500 
2022/11/24 12:56:35.793 D Diagnostics                    Loaded hosting startup assembly IntegrationTest 
2022/11/24 12:56:35.793 I Lifetime                       Application started. Press Ctrl+C to shut down. 
2022/11/24 12:56:35.794 I Lifetime                       Hosting environment: Development 
2022/11/24 12:56:35.794 I Lifetime                       Content root path: D:\Proyectos\ADGS\CICD\strokkdroid_CR\IntegrationTest\IntegrationTest 
2022/11/24 12:56:35.794 D Host                           Hosting started 
2022/11/24 12:56:42.727 D Kestrel                        Connection id "0HMME6HTJGHJV" accepted. 
2022/11/24 12:56:42.727 D Kestrel                        Connection id "0HMME6HTJGHJV" started. 
2022/11/24 12:56:42.732 D Kestrel                        Connection id "0HMME6HTJGHK0" accepted. 
2022/11/24 12:56:42.732 D Kestrel                        Connection id "0HMME6HTJGHK0" started. 
2022/11/24 12:56:44.762 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/swagger/index.html   
2022/11/24 12:56:44.766 D HostFilteringMiddleware        Wildcard detected, all requests with hosts will be allowed. 
2022/11/24 12:56:44.766 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 12:56:44.815 D Kestrel                        Connection id "0HMME6HTJGHJV" completed keep alive response. 
2022/11/24 12:56:44.815 I Diagnostics                    Request finished in 55.2436ms 200 text/html;charset=utf-8 
2022/11/24 12:56:44.989 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/swagger/v1/swagger.json   
2022/11/24 12:56:44.989 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 12:56:45.050 D Kestrel                        Connection id "0HMME6HTJGHJV" completed keep alive response. 
2022/11/24 12:56:45.050 I Diagnostics                    Request finished in 64.8966ms 200 application/json;charset=utf-8 
2022/11/24 12:57:12.583 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/demo?Tofind=hola   
2022/11/24 12:57:12.583 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 12:57:12.583 D StaticFileMiddleware           The request path  does not match the path filter 
2022/11/24 12:57:12.604 D DfaMatcher                     1 candidate(s) found for the request path '/demo' 
2022/11/24 12:57:12.604 D DfaMatcher                     Endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' with route pattern 'Demo' is valid for the request path '/demo' 
