2022/11/24 12:44:50.847 D Host                           Hosting starting 
2022/11/24 12:44:51.086 D KestrelServer                  Failed to locate the development https certificate at '(null)'. 
2022/11/24 12:44:51.086 W Kestrel                        Overriding address(es) 'http://localhost:5000'. Binding to endpoints defined in UseKestrel() instead. 
2022/11/24 12:44:51.114 I Lifetime                       Now listening on: http://0.0.0.0:6500 
2022/11/24 12:44:51.114 D Diagnostics                    Loaded hosting startup assembly IntegrationTest 
2022/11/24 12:44:51.114 I Lifetime                       Application started. Press Ctrl+C to shut down. 
2022/11/24 12:44:51.114 I Lifetime                       Hosting environment: Development 
2022/11/24 12:44:51.114 I Lifetime                       Content root path: D:\Proyectos\ADGS\CICD\strokkdroid_CR\IntegrationTest\IntegrationTest 
2022/11/24 12:44:51.114 D Host                           Hosting started 
