2022/11/24 15:09:23.504 D Host                           Hosting starting 
2022/11/24 15:09:23.771 D KestrelServer                  Failed to locate the development https certificate at '(null)'. 
2022/11/24 15:09:23.777 W Kestrel                        Overriding address(es) 'http://localhost:5000'. Binding to endpoints defined in UseKestrel() instead. 
2022/11/24 15:09:23.777 I Lifetime                       Now listening on: http://0.0.0.0:6500 
2022/11/24 15:09:23.777 D Diagnostics                    Loaded hosting startup assembly IntegrationTest 
2022/11/24 15:09:23.777 I Lifetime                       Application started. Press Ctrl+C to shut down. 
2022/11/24 15:09:23.786 I Lifetime                       Hosting environment: Development 
2022/11/24 15:09:23.786 I Lifetime                       Content root path: /mnt/d/Proyectos/ADGS/CICD/strokkdroid_CR/IntegrationTest/IntegrationTest 
2022/11/24 15:09:23.786 D Host                           Hosting started 
2022/11/24 15:09:38.434 D Kestrel                        Connection id "0HMME8S6HOPGC" accepted. 
2022/11/24 15:09:38.437 D Kestrel                        Connection id "0HMME8S6HOPGC" started. 
2022/11/24 15:09:38.437 D Kestrel                        Connection id "0HMME8S6HOPGD" accepted. 
2022/11/24 15:09:38.457 D Kestrel                        Connection id "0HMME8S6HOPGD" started. 
2022/11/24 15:09:38.468 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/demo?Tofind=hola   
2022/11/24 15:09:38.468 D HostFilteringMiddleware        Wildcard detected, all requests with hosts will be allowed. 
2022/11/24 15:09:38.468 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 15:09:38.500 D StaticFileMiddleware           The request path  does not match the path filter 
2022/11/24 15:09:38.529 D DfaMatcher                     1 candidate(s) found for the request path '/demo' 
2022/11/24 15:09:38.529 D DfaMatcher                     Endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' with route pattern 'Demo' is valid for the request path '/demo' 
2022/11/24 15:09:38.529 D EndpointRoutingMiddleware      Request matched endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:09:38.537 I EndpointMiddleware             Executing endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:09:38.537 D ModelBinderFactory             Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexTypeModelBinderProvider 
2022/11/24 15:09:38.565 I ControllerActionInvoker        Route matched with {action = "get", controller = "Demo"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult get(System.String) on controller IntegrationTest.Controllers.DemoController (IntegrationTest). 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Execution plan of authorization filters (in the following order): None 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Execution plan of resource filters (in the following order): None 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000) 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Execution plan of exception filters (in the following order): None 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000) 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Executing controller factory for controller IntegrationTest.Controllers.DemoController (IntegrationTest) 
2022/11/24 15:09:38.568 D ControllerActionInvoker        Executed controller factory for controller IntegrationTest.Controllers.DemoController (IntegrationTest) 
2022/11/24 15:09:38.585 D ParameterBinder                Attempting to bind parameter 'toFind' of type 'System.String' ... 
2022/11/24 15:09:38.589 D SimpleTypeModelBinder          Attempting to bind parameter 'toFind' of type 'System.String' using the name 'toFind' in request data ... 
2022/11/24 15:09:38.589 D SimpleTypeModelBinder          Done attempting to bind parameter 'toFind' of type 'System.String'. 
2022/11/24 15:09:38.589 D ParameterBinder                Done attempting to bind parameter 'toFind' of type 'System.String'. 
2022/11/24 15:09:38.589 D ParameterBinder                Attempting to validate the bound parameter 'toFind' of type 'System.String' ... 
2022/11/24 15:09:38.589 D ParameterBinder                Done attempting to validate the bound parameter 'toFind' of type 'System.String'. 
2022/11/24 15:09:38.596 T ControllerActionInvoker        Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2022/11/24 15:09:38.596 T ControllerActionInvoker        Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2022/11/24 15:09:38.596 T ControllerActionInvoker        Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2022/11/24 15:09:38.596 T ControllerActionInvoker        Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2022/11/24 15:09:38.596 I ControllerActionInvoker        Executing action method IntegrationTest.Controllers.DemoController.get (IntegrationTest) - Validation state: Valid 
2022/11/24 15:09:38.596 T ControllerActionInvoker        Executing action method IntegrationTest.Controllers.DemoController.get (IntegrationTest) with arguments (hola) 
2022/11/24 15:09:38.607 I ControllerActionInvoker        Executed action method IntegrationTest.Controllers.DemoController.get (IntegrationTest), returned result Microsoft.AspNetCore.Mvc.ContentResult in 1.001ms. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2022/11/24 15:09:38.607 T ControllerActionInvoker        Before executing action result Microsoft.AspNetCore.Mvc.ContentResult. 
2022/11/24 15:09:38.607 I ContentResultExecutor          Executing ContentResult with HTTP Response ContentType of text/plain; charset=utf-8 
2022/11/24 15:09:38.620 T ControllerActionInvoker        After executing action result Microsoft.AspNetCore.Mvc.ContentResult. 
2022/11/24 15:09:38.620 T ControllerActionInvoker        Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2022/11/24 15:09:38.620 T ControllerActionInvoker        Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2022/11/24 15:09:38.620 I ControllerActionInvoker        Executed action IntegrationTest.Controllers.DemoController.get (IntegrationTest) in 51.3635ms 
2022/11/24 15:09:38.620 I EndpointMiddleware             Executed endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:09:38.626 D Kestrel                        Connection id "0HMME8S6HOPGC" completed keep alive response. 
2022/11/24 15:09:38.626 I Diagnostics                    Request finished in 160.8425ms 200 text/plain; charset=utf-8 
2022/11/24 15:09:38.686 D Kestrel                        Connection id "0HMME8S6HOPGE" accepted. 
2022/11/24 15:09:38.687 D Kestrel                        Connection id "0HMME8S6HOPGE" started. 
2022/11/24 15:09:43.866 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/demo?Tofind=viva   
2022/11/24 15:09:43.867 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 15:09:43.867 D StaticFileMiddleware           The request path  does not match the path filter 
2022/11/24 15:09:43.867 D DfaMatcher                     1 candidate(s) found for the request path '/demo' 
2022/11/24 15:09:43.867 D DfaMatcher                     Endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' with route pattern 'Demo' is valid for the request path '/demo' 
2022/11/24 15:09:43.867 D EndpointRoutingMiddleware      Request matched endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:09:43.867 I EndpointMiddleware             Executing endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:09:43.867 I ControllerActionInvoker        Route matched with {action = "get", controller = "Demo"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult get(System.String) on controller IntegrationTest.Controllers.DemoController (IntegrationTest). 
2022/11/24 15:09:43.867 D ControllerActionInvoker        Execution plan of authorization filters (in the following order): None 
2022/11/24 15:09:43.867 D ControllerActionInvoker        Execution plan of resource filters (in the following order): None 
2022/11/24 15:09:43.867 D ControllerActionInvoker        Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000) 
2022/11/24 15:09:43.867 D ControllerActionInvoker        Execution plan of exception filters (in the following order): None 
2022/11/24 15:09:43.867 D ControllerActionInvoker        Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000) 
2022/11/24 15:09:43.867 D ControllerActionInvoker        Executing controller factory for controller IntegrationTest.Controllers.DemoController (IntegrationTest) 
2022/11/24 15:09:43.876 D ControllerActionInvoker        Executed controller factory for controller IntegrationTest.Controllers.DemoController (IntegrationTest) 
2022/11/24 15:09:43.876 D ParameterBinder                Attempting to bind parameter 'toFind' of type 'System.String' ... 
2022/11/24 15:09:43.876 D SimpleTypeModelBinder          Attempting to bind parameter 'toFind' of type 'System.String' using the name 'toFind' in request data ... 
