2022/11/24 15:27:00.466 D Host                           Hosting starting 
2022/11/24 15:27:00.724 D KestrelServer                  Failed to locate the development https certificate at '(null)'. 
2022/11/24 15:27:00.724 W Kestrel                        Overriding address(es) 'http://localhost:5000'. Binding to endpoints defined in UseKestrel() instead. 
2022/11/24 15:27:00.752 I Lifetime                       Now listening on: http://0.0.0.0:6500 
2022/11/24 15:27:00.752 D Diagnostics                    Loaded hosting startup assembly IntegrationTest 
2022/11/24 15:27:00.752 I Lifetime                       Application started. Press Ctrl+C to shut down. 
2022/11/24 15:27:00.752 I Lifetime                       Hosting environment: Development 
2022/11/24 15:27:00.752 I Lifetime                       Content root path: D:\Proyectos\ADGS\CICD\strokkdroid_CR\IntegrationTest\IntegrationTest 
2022/11/24 15:27:00.752 D Host                           Hosting started 
2022/11/24 15:27:20.774 D Kestrel                        Connection id "0HMME96351A5A" accepted. 
2022/11/24 15:27:20.774 D Kestrel                        Connection id "0HMME96351A5A" started. 
2022/11/24 15:27:20.779 D Kestrel                        Connection id "0HMME96351A5B" accepted. 
2022/11/24 15:27:20.779 D Kestrel                        Connection id "0HMME96351A5B" started. 
2022/11/24 15:27:20.803 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/swagger/index.html   
2022/11/24 15:27:20.803 D HostFilteringMiddleware        Wildcard detected, all requests with hosts will be allowed. 
2022/11/24 15:27:20.803 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 15:27:20.853 D Kestrel                        Connection id "0HMME96351A5A" completed keep alive response. 
2022/11/24 15:27:20.853 I Diagnostics                    Request finished in 51.8466ms 200 text/html;charset=utf-8 
2022/11/24 15:27:21.021 D Kestrel                        Connection id "0HMME96351A5C" accepted. 
2022/11/24 15:27:21.021 D Kestrel                        Connection id "0HMME96351A5C" started. 
2022/11/24 15:27:21.035 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/swagger/v1/swagger.json   
2022/11/24 15:27:21.035 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 15:27:21.090 D Kestrel                        Connection id "0HMME96351A5A" completed keep alive response. 
2022/11/24 15:27:21.090 I Diagnostics                    Request finished in 55.394ms 200 application/json;charset=utf-8 
2022/11/24 15:27:28.485 I Diagnostics                    Request starting HTTP/1.1 GET http://localhost:6500/Demo?toFind=viva   
2022/11/24 15:27:28.485 T HostFilteringMiddleware        All hosts are allowed. 
2022/11/24 15:27:28.485 D StaticFileMiddleware           The request path  does not match the path filter 
2022/11/24 15:27:28.509 D DfaMatcher                     1 candidate(s) found for the request path '/Demo' 
2022/11/24 15:27:28.509 D DfaMatcher                     Endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' with route pattern 'Demo' is valid for the request path '/Demo' 
2022/11/24 15:27:28.509 D EndpointRoutingMiddleware      Request matched endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:27:28.513 I EndpointMiddleware             Executing endpoint 'IntegrationTest.Controllers.DemoController.get (IntegrationTest)' 
2022/11/24 15:27:28.513 D ModelBinderFactory             Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexTypeModelBinderProvider 
2022/11/24 15:27:28.535 I ControllerActionInvoker        Route matched with {action = "get", controller = "Demo"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult get(System.String) on controller IntegrationTest.Controllers.DemoController (IntegrationTest). 
